Date,Close/Last,Volume
12/18/2019,1784.03,3354137
12/17/2019,1790.66,3646697
12/16/2019,1769.21,3149345
12/13/2019,1760.94,2747909
12/12/2019,1760.33,3103949
12/11/2019,1748.72,2101318
12/10/2019,1739.21,2515644
12/09/2019,1749.51,2502489
12/06/2019,1751.6,3119979
12/05/2019,1740.48,2827852
12/04/2019,1760.69,2680700
12/03/2019,1769.96,3529582
12/02/2019,1781.6,3931750
11/29/2019,1800.8,1923440
11/27/2019,1818.51,3035846
11/26/2019,1796.94,3190428
11/25/2019,1773.84,3489467
11/22/2019,1745.72,2479081
11/21/2019,1734.71,2662938
11/20/2019,1745.53,2793759
11/19/2019,1752.79,2274535
11/18/2019,1752.53,2841907
11/15/2019,1739.49,3931141
11/14/2019,1754.6,2269417
11/13/2019,1753.11,2926892
11/12/2019,1778,2038925
11/11/2019,1771.65,1947810
11/08/2019,1785.88,2126198
11/07/2019,1788.2,2651086
11/06/2019,1795.77,2029783
11/05/2019,1801.71,1885543
11/04/2019,1804.66,2771922
11/01/2019,1791.44,2790354
10/31/2019,1776.66,2781185
10/30/2019,1779.99,2449405
10/29/2019,1762.71,2276855
10/28/2019,1777.08,3708851
10/25/2019,1761.33,9626402
10/24/2019,1780.78,5204350
10/23/2019,1762.17,2190380
10/22/2019,1765.73,2234425
10/21/2019,1785.66,2224902
10/18/2019,1757.51,3366091
10/17/2019,1787.48,2713773
10/16/2019,1777.43,2804068
10/15/2019,1767.38,3129244
10/14/2019,1736.43,1928898
10/11/2019,1731.92,3279534
10/10/2019,1720.26,2721531
10/09/2019,1721.99,2089335
10/08/2019,1705.51,2626840
10/07/2019,1732.66,2187598
10/04/2019,1739.65,2489277
10/03/2019,1724.42,3624371
10/02/2019,1713.23,3338476
10/01/2019,1735.65,3170460
09/30/2019,1735.91,2760768
09/27/2019,1725.45,3948029
09/26/2019,1739.84,3571952
09/25/2019,1768.33,3531098
09/24/2019,1741.61,4637901
09/23/2019,1785.3,3139142
09/20/2019,1794.16,5555839
09/19/2019,1821.5,2078335
09/18/2019,1817.46,2536012
09/17/2019,1822.55,2033058
09/16/2019,1807.84,3675473
09/13/2019,1839.34,1971317
09/12/2019,1843.55,2823505
09/11/2019,1822.99,2432767
09/10/2019,1820.55,2613879
09/09/2019,1831.35,2999515
09/06/2019,1833.51,2496933
09/05/2019,1840.72,3325189
09/04/2019,1800.62,2326228
09/03/2019,1789.84,3546859
08/30/2019,1776.29,3064147
08/29/2019,1786.4,3018012
08/28/2019,1764.25,2421893
08/27/2019,1761.83,3027245
08/26/2019,1768.87,3085320
08/23/2019,1749.62,5277898
08/22/2019,1805.6,2658388
08/21/2019,1823.54,2039231
08/20/2019,1801.38,1932835
08/19/2019,1816.12,2820303
08/16/2019,1792.57,3054240
08/15/2019,1776.12,3809948
08/14/2019,1762.96,4893649
08/13/2019,1824.34,4075021
08/12/2019,1784.92,2905498
08/09/2019,1807.58,2879770
08/08/2019,1832.89,3701242
08/07/2019,1793.4,4526884
08/06/2019,1787.83,5070258
08/05/2019,1765.13,6058212
08/02/2019,1823.24,4956225
08/01/2019,1855.32,4713311
07/31/2019,1866.78,4470727
07/30/2019,1898.53,2910888
07/29/2019,1912.45,4493190
07/26/2019,1943.05,4927143
07/25/2019,1973.82,4136461
07/24/2019,2000.81,2631300
07/23/2019,1994.49,2703480
07/22/2019,1985.63,2908111
07/19/2019,1964.52,3185612
07/18/2019,1977.9,3504252
07/17/2019,1992.03,2558809
07/16/2019,2009.9,2618198
07/15/2019,2020.99,2981343
07/12/2019,2011,2509297
07/11/2019,2001.07,4317766
07/10/2019,2017.41,4931902
07/09/2019,1988.3,4345698
07/08/2019,1952.32,2883371
07/05/2019,1942.91,2628359
07/03/2019,1939,1690294
07/02/2019,1934.31,2651299
07/01/2019,1922.19,3203347
06/28/2019,1893.63,3037358
06/27/2019,1904.28,2141721
06/26/2019,1897.83,2441910
06/25/2019,1878.27,3012347
06/24/2019,1913.9,2282969
06/21/2019,1911.3,3933576
06/20/2019,1918.19,3217153
06/19/2019,1908.79,2895347
06/18/2019,1901.37,3895728
06/17/2019,1886.03,2634342
06/14/2019,1869.67,2851163
06/13/2019,1870.3,2795810
06/12/2019,1855.32,2678335
06/11/2019,1863.7,4042694
06/10/2019,1860.63,5371007
06/07/2019,1804.03,4808246
06/06/2019,1754.36,3689272
06/05/2019,1738.5,4239782
06/04/2019,1729.56,5679121
06/03/2019,1692.69,9098708
05/31/2019,1775.07,4618819
05/30/2019,1816.32,3146850
05/29/2019,1819.19,4279025
05/28/2019,1836.43,3199965
05/24/2019,1823.28,3369673
05/23/2019,1815.48,4424265
05/22/2019,1859.68,2936601
05/21/2019,1857.52,4005122
05/20/2019,1858.97,3798198
05/17/2019,1869,4736618
05/16/2019,1907.57,4707822
05/15/2019,1871.15,4692642
05/14/2019,1840.12,4629107
05/13/2019,1822.68,5783410
05/10/2019,1889.98,5717994
05/09/2019,1899.87,5308263
05/08/2019,1917.77,4078568
05/07/2019,1921,5902134
05/06/2019,1950.55,5417841
05/03/2019,1962.46,6381564
05/02/2019,1900.82,3962915
05/01/2019,1911.52,3116964
04/30/2019,1926.52,3492929
04/29/2019,1938.43,4000052
04/26/2019,1950.63,8396605
04/25/2019,1902.25,5625972
04/24/2019,1901.75,3618382
04/23/2019,1923.77,4632169
04/22/2019,1887.31,3361162
04/18/2019,1861.69,2745002
04/17/2019,1864.82,2838130
04/16/2019,1863.04,3036907
04/15/2019,1844.87,3710653
04/12/2019,1843.06,3090899
04/11/2019,1844.07,2623197
04/10/2019,1847.33,2951939
04/09/2019,1835.84,3703283
04/08/2019,1849.86,3745428
04/05/2019,1837.28,3628458
04/04/2019,1818.86,3614013
04/03/2019,1820.7,3923043
04/02/2019,1813.98,3435556
04/01/2019,1814.19,4173480
03/29/2019,1780.75,3316831
03/28/2019,1773.42,3030860
03/27/2019,1765.7,4316646
03/26/2019,1783.76,4848654
03/25/2019,1774.26,5098182
03/22/2019,1764.77,6347858
03/21/2019,1819.26,5740075
03/20/2019,1797.27,6153806
03/19/2019,1761.85,6339232
03/18/2019,1742.15,5403392
03/15/2019,1712.36,7538300
03/14/2019,1686.22,2937759
03/13/2019,1690.81,3540837
03/12/2019,1673.1,3562993
03/11/2019,1670.62,3797298
03/08/2019,1620.8,4659945
03/07/2019,1625.95,4945564
03/06/2019,1668.95,3984996
03/05/2019,1692.43,3667977
03/04/2019,1696.17,6154237
03/01/2019,1671.73,4661618
02/28/2019,1639.83,3016008
02/27/2019,1641.09,3141146
02/26/2019,1636.4,2657019
02/25/2019,1633,3169190
02/22/2019,1631.56,3090342
02/21/2019,1619.44,3460682
02/20/2019,1622.1,3314310
02/19/2019,1627.58,3671821
02/15/2019,1607.95,4333397
02/14/2019,1622.65,4106555
02/13/2019,1640,3545096
02/12/2019,1638.01,4830487
02/11/2019,1591,3301240
02/08/2019,1588.22,5649888
02/07/2019,1614.37,4605293
02/06/2019,1640.26,3930870
02/05/2019,1658.81,4443632
02/04/2019,1633.31,4911319
02/01/2019,1626.23,11484130
01/31/2019,1718.73,10304330
01/30/2019,1670.43,5717042
01/29/2019,1593.88,4591586
01/28/2019,1637.89,4807564
01/25/2019,1670.57,4933434
01/24/2019,1654.93,4077737
01/23/2019,1640.02,5192420
01/22/2019,1632.17,6402655
01/18/2019,1696.2,5973318
01/17/2019,1693.22,4179836
01/16/2019,1683.78,6343614
01/15/2019,1674.56,5964298
01/14/2019,1617.21,5989299
01/11/2019,1640.56,4670093
01/10/2019,1656.22,6487252
01/09/2019,1659.42,6333528
01/08/2019,1656.58,8830753
01/07/2019,1629.51,7971720
01/04/2019,1575.39,9161701
01/03/2019,1500.28,6934218
01/02/2019,1539.13,7871967
12/31/2018,1501.97,6941598
12/28/2018,1478.02,8822598
12/27/2018,1461.64,9631228
12/26/2018,1470.9,10332870
12/24/2018,1343.96,7219996
12/21/2018,1377.45,13556470
12/20/2018,1460.83,9912659
12/19/2018,1495.08,8624401
12/18/2018,1551.48,6468073
12/17/2018,1520.91,8729020
12/14/2018,1591.91,6347659
12/13/2018,1658.38,5249043
12/12/2018,1663.54,6581356
12/11/2018,1643.24,6217833
12/10/2018,1641.03,7467159
12/07/2018,1629.13,7508939
12/06/2018,1699.19,8701197
12/04/2018,1668.4,8653416
12/03/2018,1772.36,6840412
11/30/2018,1690.17,5744168
11/29/2018,1673.57,6600424
11/28/2018,1677.75,8429894
11/27/2018,1581.42,5758441
11/26/2018,1581.33,6226531
11/23/2018,1502.06,2707642
11/21/2018,1516.73,5707400
11/20/2018,1495.46,10824410
11/19/2018,1512.29,7741370
11/16/2018,1593.41,6057199
11/15/2018,1619.44,8379824
11/14/2018,1599.01,6439170
